Oakwood Suites Bangkok,0.9597,13.72878753,100.5686347
Novotel Bangkok Platinum Pratunam,0.939247,13.7500357,100.540618
Mandarin Oriental Bangkok,0.9190347368,13.72381541,100.5142733
The Quarter Phromphong By UHG,0.9101,13.73787419,100.5665426
Shangri-La Hotel Bangkok,0.9003,13.72117638,100.5139564
Hotel Verve,0.8989694444,13.72594467,100.5788768
Chatrium Hotel Riverside Bangkok,0.897392,13.71126805,100.5095423
Vince Hotel,0.877301,13.754556,100.5356646
Craftsman Bangkok,0.872525974,13.78813562,100.5448758
Chern Hostel,0.865189,13.75184799,100.5031812
W Kuala Lumpur,0.94991,3.158699674,101.7094628
Four Points by Sheraton Kuala Lumpur Chinatown,0.9179326087,3.141245239,101.6979162
Sunway Putra Hotel,0.8972747368,3.166519234,101.6926587
Le Meridien Kuala Lumpur,0.870548,3.135983391,101.6865213
Four Seasons Hotel Kuala Lumpur,0.864927,3.158597061,101.713665
The RuMa Hotel and Residences,0.856771,3.153069376,101.7144274
The Westin Kuala Lumpur,0.845644,3.147903651,101.7145352
Grand Hyatt Kuala Lumpur,0.843035,3.1539211,101.712138
Element Kuala Lumpur,0.820537,3.159271886,101.7187012
Shangri-La Hotel Kuala Lumpur,0.820516,13.72122849,100.5140208
Hotel G Singapore,0.920175,1.301308833,103.8515105
Four Seasons Hotel Singapore,0.917818,1.305255668,103.8286083
Naumi Hotel Singapore,0.907886,1.296155973,103.8551104
The Capitol Kempinski Hotel Singapore,0.905483,1.294180604,103.8513506
PARKROYAL on Beach Road,0.89745,1.300260177,103.8606843
The Fullerton Hotel Singapore,0.879868,1.286642805,103.8530671
PARKROYAL COLLECTION Marina Bay Singapore,0.868979,1.286044474,103.8460908
Pan Pacific Singapore,0.834839,1.292739382,103.8586281
Hotel Boss,0.815557,1.305951433,103.8599449
Changi Cove,0.815388,1.38910136,103.9764125
